Word,Word_Start_Time,Word_End_Time,Phoneme,Phoneme_Position,Phoneme_Start_Time,Phoneme_End_Time
[SIL],0.0,1.67,[SIL],1,0.0,1.67
the,1.67,1.77,DH,1,1.67,1.68
the,1.67,1.77,AH,2,1.68,1.77
[SIL],1.77,1.83,[SIL],1,1.77,1.83
the,1.83,1.92,AH,1,1.83,1.92
[SIL],1.92,2.9,[SIL],1,1.92,2.9
the,2.9,3.43,AH,1,2.9,3.43
[SIL],3.43,3.49,[SIL],1,3.43,3.49
the,3.49,3.56,AH,1,3.49,3.56
[SIL],3.56,3.98,[SIL],1,3.56,3.98
the,3.98,4.04,AH,1,3.98,4.04
[SIL],4.04,4.13,[SIL],1,4.04,4.13
the,4.13,4.14,AH,1,4.13,4.14
rainbow,4.14,4.32,R,1,4.14,4.22
rainbow,4.14,4.32,EY,2,4.22,4.23
rainbow,4.14,4.32,N,3,4.23,4.3
rainbow,4.14,4.32,B,4,4.3,4.31
rainbow,4.14,4.32,OW,5,4.31,4.32
pepper,4.32,4.36,P,1,4.32,4.33
pepper,4.32,4.36,EH,2,4.33,4.34
pepper,4.32,4.36,P,3,4.34,4.35
pepper,4.32,4.36,ER,4,4.35,4.36
and,4.36,4.48,AH,1,4.36,4.46
and,4.36,4.48,N,2,4.46,4.47
and,4.36,4.48,D,3,4.47,4.48
[SIL],4.48,4.55,[SIL],1,4.48,4.55
her,4.55,4.57,HH,1,4.55,4.56
her,4.55,4.57,ER,2,4.56,4.57
family,4.57,4.95,F,1,4.57,4.58
family,4.57,4.95,AE,2,4.58,4.68
family,4.57,4.95,M,3,4.68,4.74
family,4.57,4.95,AH,4,4.74,4.76
family,4.57,4.95,L,5,4.76,4.84
family,4.57,4.95,IY,6,4.84,4.95
are,4.95,4.97,AA,1,4.95,4.96
are,4.95,4.97,R,2,4.96,4.97
going,4.97,5.08,G,1,4.97,4.98
going,4.97,5.08,OW,2,4.98,5.08
[SIL],5.08,5.25,[SIL],1,5.08,5.25
going,5.25,5.48,OW,1,5.25,5.33
going,5.25,5.48,IH,2,5.33,5.4
going,5.25,5.48,NG,3,5.4,5.48
for,5.48,5.5,F,1,5.48,5.49
for,5.48,5.5,AO,2,5.49,5.5
[SIL],5.5,5.54,[SIL],1,5.5,5.54
for,5.54,5.67,R,1,5.54,5.67
a,5.67,5.69,AH,1,5.67,5.69
drive,5.69,6.19,D,1,5.69,5.88
drive,5.69,6.19,R,2,5.88,5.96
drive,5.69,6.19,AY,3,5.96,6.18
drive,5.69,6.19,V,4,6.18,6.19
to,6.19,6.21,T,1,6.19,6.21
[SIL],6.21,6.29,[SIL],1,6.21,6.29
to,6.29,6.31,T,1,6.29,6.3
to,6.29,6.31,UW,2,6.3,6.31
the,6.31,6.49,DH,1,6.31,6.32
the,6.31,6.49,AH,2,6.32,6.49
mountains,6.49,7.01,M,1,6.49,6.58
mountains,6.49,7.01,AW,2,6.58,6.59
mountains,6.49,7.01,N,3,6.59,6.8
mountains,6.49,7.01,T,4,6.8,6.83
mountains,6.49,7.01,AH,5,6.83,6.88
mountains,6.49,7.01,N,6,6.88,7.01
[SIL],7.01,7.07,[SIL],1,7.01,7.07
mountains,7.07,7.17,N,1,7.07,7.09
mountains,7.07,7.17,Z,2,7.09,7.17
[SIL],7.17,9.44,[SIL],1,7.17,9.44
are,9.44,9.46,AA,1,9.44,9.45
are,9.44,9.46,R,2,9.45,9.46
we,9.46,9.48,W,1,9.46,9.47
we,9.46,9.48,IY,2,9.47,9.48
nearly,9.48,9.53,N,1,9.48,9.49
nearly,9.48,9.53,IH,2,9.49,9.5
nearly,9.48,9.53,R,3,9.5,9.51
nearly,9.48,9.53,L,4,9.51,9.52
nearly,9.48,9.53,IY,5,9.52,9.53
there,9.53,9.56,DH,1,9.53,9.54
there,9.53,9.56,EH,2,9.54,9.55
there,9.53,9.56,R,3,9.55,9.56
yet,9.56,9.57,Y,1,9.56,9.57
[SIL],9.57,9.67,[SIL],1,9.57,9.67
yet,9.67,9.69,EH,1,9.67,9.68
yet,9.67,9.69,T,2,9.68,9.69
[SIL],9.69,10.59,[SIL],1,9.69,10.59
not,10.59,10.71,N,1,10.59,10.67
not,10.59,10.71,AA,2,10.67,10.71
[SIL],10.71,13.11,[SIL],1,10.71,13.11
not,13.11,13.12,T,1,13.11,13.12
yet,13.12,13.3,Y,1,13.12,13.13
yet,13.12,13.3,EH,2,13.13,13.18
yet,13.12,13.3,T,3,13.18,13.3
pepper,13.3,13.31,P,1,13.3,13.31
[SIL],13.31,13.39,[SIL],1,13.31,13.39
pepper,13.39,13.42,EH,1,13.39,13.4
pepper,13.39,13.42,P,2,13.4,13.41
pepper,13.39,13.42,ER,3,13.41,13.42
let's,13.42,13.5,L,1,13.42,13.47
let's,13.42,13.5,EH,2,13.47,13.48
let's,13.42,13.5,T,3,13.48,13.49
let's,13.42,13.5,S,4,13.49,13.5
play,13.5,13.61,P,1,13.5,13.51
play,13.5,13.61,L,2,13.51,13.52
play,13.5,13.61,EY,3,13.52,13.61
a,13.61,13.74,AH,1,13.61,13.74
[SIL],13.74,13.79,[SIL],1,13.74,13.79
game,13.79,14.11,G,1,13.79,13.87
game,13.79,14.11,EY,2,13.87,14.1
game,13.79,14.11,M,3,14.1,14.11
[SIL],14.11,14.68,[SIL],1,14.11,14.68
we,14.68,14.98,W,1,14.68,14.73
we,14.68,14.98,IY,2,14.73,14.98
each,14.98,15.09,CH,1,14.98,15.09
have,15.09,15.18,HH,1,15.09,15.1
have,15.09,15.18,AE,2,15.1,15.18
[SIL],15.18,15.25,[SIL],1,15.18,15.25
have,15.25,15.26,V,1,15.25,15.26
the,15.26,15.37,DH,1,15.26,15.27
the,15.26,15.37,AH,2,15.27,15.37
spot,15.37,15.48,S,1,15.37,15.48
[SIL],15.48,15.53,[SIL],1,15.48,15.53
spot,15.53,15.69,P,1,15.53,15.55
spot,15.53,15.69,AA,2,15.55,15.63
spot,15.53,15.69,T,3,15.63,15.69
a,15.69,15.78,AH,1,15.69,15.78
car,15.78,16.21,K,1,15.78,15.95
car,15.78,16.21,AA,2,15.95,16.19
car,15.78,16.21,R,3,16.19,16.21
of,16.21,16.31,AH,1,16.21,16.31
[SIL],16.31,16.35,[SIL],1,16.31,16.35
of,16.35,16.61,AH,1,16.35,16.6
of,16.35,16.61,V,2,16.6,16.61
our,16.61,16.63,AW,1,16.61,16.62
our,16.61,16.63,ER,2,16.62,16.63
favourite,16.63,16.66,F,1,16.63,16.66
[SIL],16.66,16.76,[SIL],1,16.66,16.76
favourite,16.76,17.09,F,1,16.76,16.79
favourite,16.76,17.09,AE,2,16.79,16.88
favourite,16.76,17.09,V,3,16.88,16.89
favourite,16.76,17.09,Y,4,16.89,16.9
favourite,16.76,17.09,UW,5,16.9,16.93
favourite,16.76,17.09,R,6,16.93,17.07
favourite,16.76,17.09,AY,7,17.07,17.08
favourite,16.76,17.09,T,8,17.08,17.09
colour,17.09,17.13,K,1,17.09,17.13
[SIL],17.13,17.2,[SIL],1,17.13,17.2
colour,17.2,17.55,K,1,17.2,17.31
colour,17.2,17.55,AH,2,17.31,17.4
colour,17.2,17.55,L,3,17.4,17.53
colour,17.2,17.55,AW,4,17.53,17.54
colour,17.2,17.55,R,5,17.54,17.55
yes,17.55,17.58,Y,1,17.55,17.56
yes,17.55,17.58,EH,2,17.56,17.57
yes,17.55,17.58,S,3,17.57,17.58
[SIL],17.58,19.15,[SIL],1,17.58,19.15
my,19.15,19.37,M,1,19.15,19.2
my,19.15,19.37,AY,2,19.2,19.37
favourite,19.37,19.74,F,1,19.37,19.48
favourite,19.37,19.74,AE,2,19.48,19.49
favourite,19.37,19.74,V,3,19.49,19.5
favourite,19.37,19.74,Y,4,19.5,19.51
favourite,19.37,19.74,UW,5,19.51,19.52
favourite,19.37,19.74,R,6,19.52,19.72
favourite,19.37,19.74,AY,7,19.72,19.73
favourite,19.37,19.74,T,8,19.73,19.74
colour,19.74,20.19,K,1,19.74,19.94
colour,19.74,20.19,AH,2,19.94,19.99
colour,19.74,20.19,L,3,19.99,20.18
colour,19.74,20.19,AW,4,20.18,20.19
[SIL],20.19,20.55,[SIL],1,20.19,20.55
colour,20.55,20.56,R,1,20.55,20.56
is,20.56,20.71,IH,1,20.56,20.65
is,20.56,20.71,Z,2,20.65,20.71
[SIL],20.71,20.88,[SIL],1,20.71,20.88
green,20.88,20.92,G,1,20.88,20.89
green,20.88,20.92,R,2,20.89,20.92
[SIL],20.92,20.96,[SIL],1,20.92,20.96
green,20.96,21.26,R,1,20.96,21.07
green,20.96,21.26,IY,2,21.07,21.26
[SIL],21.26,21.93,[SIL],1,21.26,21.93
green,21.93,21.97,N,1,21.93,21.97
mine,21.97,22.29,M,1,21.97,21.99
mine,21.97,22.29,AY,2,21.99,22.29
[SIL],22.29,22.33,[SIL],1,22.29,22.33
mine,22.33,22.34,AY,1,22.33,22.34
